disparo,E/N,T_micro,presion_tor
1001,"1,0","3,150",200
1002,"1,2","2,640",200
1003,"1,4","2,310",200
1004,"1,8","1,870",200
1005,"2,0","1,720",200
1006,"2,3","1,550",200
1007,"2,6","1,395",200
1008,"3,0","1,255",200
1009,"3,3","1,180",200
1010,"3,6","1,115",200
1011,"4,0","1,060",200
1012,"4,5","1,010",200
1013,"5,0","0,980",200
1014,"5,5","0,975",200
1015,"6,0","0,975",200
1016,"7,0","1,005",200
1017,"8,0","1,045",200
1018,"9,0","1,075",200
1019,"10,0","1,010",200
1020,"1,0","3,110",182
1021,"1,2","2,690",182
1022,"1,4","2,330",182
1023,"1,6","2,060",182
1024,"1,8","1,860",182
1025,"2,0","1,710",182
1026,"2,3","1,540",182
1027,"2,6","1,400",182
1028,"3,0","1,275",182
1029,"3,3","1,180",182
1030,"3,6","1,150",182
1031,"4,0","1,050",182
1032,"4,5","1,005",182
1033,"5,0","0,980",182
1034,"5,5","0,975",182
1035,"6,0","0,975",182
1036,"7,0","1,000",182
1037,"8,0","1,035",182
1038,"9,0","1,075",182
1039,"10,0","1,08",182